Fri Aug  8 10:52:33 2025    morgan/output.prof

         22111613 function calls (21385925 primitive calls) in 126.951 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2360    0.053    0.000    0.172    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_coo/core.py:1031(reshape)
    12239    0.051    0.000    0.051    0.000 {method 'reduce' of 'numpy.ufunc' objects}
20733/19575    0.051    0.000    0.225    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/util.py:298(wrapper)
2186/1842    0.049    0.000    0.458    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/interpreters/mlir.py:1842(jaxpr_subcomp)
     1842    0.047    0.000    0.148    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/cache_key.py:273(_hash_serialized_compile_options)
   119851    0.047    0.000    0.062    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/event.py:270(on_end)
     3546    0.046    0.000    0.046    0.000 {built-in method builtins.compile}
   182174    0.046    0.000    0.063    0.000 {built-in method _abc._abc_instancecheck}
     3540    0.045    0.000    0.421    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numpy/lib/format.py:762(read_array)
     4979    0.045    0.000    0.045    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_coo/common.py:57(linear_loc)
    98226    0.043    0.000    0.044    0.000 {jaxlib.utils.safe_zip}
    28496    0.042    0.000    0.042    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/config.py:194(trace_context)
94336/93826    0.042    0.000    0.085    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/llvmlite/ir/_utils.py:54(get_reference)
     7032    0.041    0.000    8.291    0.001 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/lax/lax.py:545(_convert_element_type)
   239702    0.040    0.000    0.040    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/event.py:138(is_start)
10220/8198    0.040    0.000   96.794    0.012 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/profiler.py:330(wrapper)
    36020    0.040    0.000    0.256    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/llvmlite/ir/values.py:544(_to_string)
     6716    0.039    0.000    0.056    0.000 /opt/conda/envs/ml/lib/python3.10/inspect.py:3050(_bind)
   163658    0.039    0.000    0.049    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/interpreters/mlir.py:457(_is_user_file)
 2321/166    0.039    0.000    6.612    0.040 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/compiler_machinery.py:267(_runPass)
     1842    0.038    0.000    3.151    0.002 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/interpreters/pxla.py:1895(_cached_lowering_to_hlo)
  956/930    0.038    0.000    0.225    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/analysis.py:23(compute_use_defs)
     2701    0.038    0.000    0.041    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numpy/_core/numeric.py:290(full)
      550    0.038    0.000    0.040    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/interpreters/pxla.py:230(batched_device_put)
     1438    0.037    0.000    0.081    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/array.py:1132(_array_shard_arg)
5900/4130    0.037    0.000    0.126    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_utils.py:406(equivalent)
    60830    0.037    0.000    0.058    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/dtypes.py:380(issubdtype)
    97470    0.037    0.000    0.077    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/event.py:100(__init__)
     1842    0.036    0.000   34.561    0.019 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/compiler.py:345(compile_or_get_cached)
    12516    0.035    0.000    0.178    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/targetconfig.py:200(<dictcomp>)
60091/52546    0.035    0.000    0.158    0.000 /opt/conda/envs/ml/lib/python3.10/contextlib.py:139(__exit__)
2052/1932    0.035    0.000    1.307    0.001 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/pjit.py:715(_infer_params)
    48735    0.035    0.000    0.266    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/event.py:404(end_event)
78232/77782    0.034    0.000    0.124    0.000 {built-in method builtins.all}
6472/5587    0.034    0.000    0.211    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_coo/core.py:198(__init__)
     8003    0.034    0.000    0.039    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/source_info_util.py:226(current)
   446339    0.034    0.000    0.034    0.000 {method 'append' of 'list' objects}
     1180    0.033    0.000    0.551    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_umath.py:576(_get_func_coords_data)
    48735    0.033    0.000    0.207    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/event.py:390(start_event)
11268/8330    0.032    0.000   92.363    0.011 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/core.py:447(bind)
47560/47317    0.032    0.000    0.182    0.000 <frozen importlib._bootstrap>:1053(_handle_fromlist)
167218/147126    0.032    0.000    0.041    0.000 {built-in method builtins.hash}
     1842    0.032    0.000    1.957    0.001 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/interpreters/mlir.py:727(__init__)
     2959    0.032    0.000    0.058    0.000 /opt/conda/envs/ml/lib/python3.10/copy.py:259(_reconstruct)
   119851    0.031    0.000    0.040    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/event.py:265(on_start)
74229/73897    0.031    0.000    0.124    0.000 {built-in method builtins.any}
13948/9874    0.031    0.000    0.353    0.000 /opt/conda/envs/ml/lib/python3.10/functools.py:961(__get__)
   182174    0.031    0.000    0.094    0.000 /opt/conda/envs/ml/lib/python3.10/abc.py:117(__instancecheck__)
     7080    0.030    0.000    0.121    0.000 /opt/conda/envs/ml/lib/python3.10/zipfile.py:1489(open)
    47971    0.030    0.000    0.228    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/llvmlite/ir/values.py:537(__init__)
     2262    0.029    0.000    0.088    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/interpreters/partial_eval.py:1758(_inline_literals)
     3835    0.029    0.000    0.079    0.000 /opt/conda/envs/ml/lib/python3.10/inspect.py:2280(_signature_from_function)
     1842    0.029    0.000    0.403    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/cache_key.py:74(get)
182666/182576    0.028    0.000    0.064    0.000 {built-in method builtins.hasattr}
      590    0.028    0.000    3.420    0.006 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/numpy/lax_numpy.py:2426(squeeze)
     2480    0.028    0.000    5.927    0.002 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/numpy/lax_numpy.py:5483(array)
      570    0.028    0.000   69.760    0.122 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/pjit.py:1733(_pjit_call_impl)
    30600    0.027    0.000    0.027    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/core.py:1052(set_trace)
    22116    0.027    0.000    0.062    0.000 /opt/conda/envs/ml/lib/python3.10/zipfile.py:743(read)
    98730    0.027    0.000    0.041    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/event.py:66(_guard_kind)
    19737    0.027    0.000    0.042    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/core.py:1628(canonicalize_shape)
2262/2142    0.027    0.000    0.804    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/interpreters/partial_eval.py:2143(trace_to_jaxpr_dynamic)
    71330    0.027    0.000    0.027    0.000 {built-in method __new__ of type object at 0x55de50483640}
      620    0.026    0.000    1.943    0.003 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/numpy/lax_numpy.py:12080(_index_to_gather)
     2845    0.026    0.000    0.026    0.000 {method 'argsort' of 'numpy.ndarray' objects}
    49480    0.025    0.000    0.197    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/llvmlite/ir/values.py:557(_set_name)
     2959    0.025    0.000    0.025    0.000 {method '__reduce_ex__' of 'object' objects}
60091/52530    0.025    0.000    0.215    0.000 /opt/conda/envs/ml/lib/python3.10/contextlib.py:130(__enter__)
99279/98533    0.024    0.000    0.071    0.000 {method 'join' of 'str' objects}
