Fri Aug  8 08:24:11 2025    morgan/output.prof

         17555703 function calls (16866950 primitive calls) in 41.879 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  256/146    0.001    0.000    3.085    0.021 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/typing/templates.py:756(_build_impl)
3940/2138    0.013    0.000    2.760    0.001 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/lowering.py:455(lower_inst)
    43003    2.192    0.000    2.696    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/llvmlite/binding/ffi.py:195(__call__)
  379/189    0.001    0.000    2.581    0.014 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/traceback_util.py:176(reraise_with_filtered_traceback)
  365/189    0.001    0.000    2.580    0.014 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/pjit.py:333(cache_miss)
  365/189    0.003    0.000    2.574    0.014 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/pjit.py:179(_python_pjit_helper)
       89    0.001    0.000    2.391    0.027 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/codegen.py:747(finalize)
  493/305    0.000    0.000    2.382    0.008 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/codegen.py:565(_ensure_finalized)
 1167/756    0.004    0.000    2.368    0.003 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/profiler.py:330(wrapper)
  611/351    0.001    0.000    2.303    0.007 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/base.py:1189(__call__)
  611/351    0.001    0.000    2.301    0.007 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/base.py:1218(wrapper)
       74    0.001    0.000    2.210    0.030 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/cpu.py:225(get_executable)
       74    0.000    0.000    2.203    0.030 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/codegen.py:983(get_pointer_to_function)
      189    0.001    0.000    2.196    0.012 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/pjit.py:1636(_pjit_call_impl_python)
      590    0.008    0.000    1.985    0.003 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_common.py:95(tensordot)
       20    0.000    0.000    1.784    0.089 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/lowering.py:595(lower_setitem)
       17    0.000    0.000    1.774    0.104 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/np/arrayobj.py:523(setitem_array)
      590    0.015    0.000    1.760    0.003 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_common.py:339(_dot)
        2    0.000    0.000    1.758    0.879 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/np/arrayobj.py:1665(fancy_setslice)
        1    0.000    0.000    1.751    1.751 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/np/arrayobj.py:1683(raise_shape_mismatch_error)
      590    0.005    0.000    1.718    0.003 /usr/src/app/morgan/trainingDataLib.py:276(pad_to_shape)
       58    0.002    0.000    1.649    0.028 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/numpy/lax_numpy.py:4552(stack)
