pH,acid volume,base volume
3.18,0.6,0.0
3.2,0.591,0.009
3.5,0.486,0.114
3.71,0.435,0.165
3.79,0.417,0.183
3.99,0.378,0.222
4.19,0.342,0.258
4.4,0.306,0.294
4.5,0.288,0.312
4.59,0.273,0.327
4.8,0.24,0.36
5.0,0.21,0.39
5.19,0.183,0.417
5.4,0.153,0.447
5.5,0.138,0.462
5.69,0.111,0.489
5.9,0.084,0.516
6.0,0.072,0.528
6.2,0.051,0.549
6.39,0.036,0.564
6.59,0.024,0.576
7.05,0.009,0.591
7.53,0.003,0.597
8.36,0.0,0.6
