CM, CL, CH, pH range
5.07, 20.00, 0.47, 2.3-11.2
5.07, 15, 0.47, 2.3-11.1
10.15, 20.00, 0.94, 2.2-11.0
5.07, 7.50, 0.47, 2.5-10.7
10.15, 10.0, 0.94, 2.4-10.6
10.15, 5.00, 0.94, 2.5-10.1
