Wed Aug  6 10:47:05 2025    output.prof

         8957353 function calls (8678762 primitive calls) in 142.250 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     18/3    0.000    0.000    1.682    0.561 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/typeinfer.py:1067(propagate)
    46/14    0.005    0.000    1.682    0.120 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/typeinfer.py:142(propagate)
  609/477    0.006    0.000    1.592    0.003 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/typeinfer.py:580(resolve)
  668/528    0.001    0.000    1.574    0.003 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/typing/context.py:189(resolve_function_type)
  609/477    0.001    0.000    1.572    0.003 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/typeinfer.py:1519(resolve_call)
  668/528    0.003    0.000    1.569    0.003 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/typing/context.py:233(_resolve_user_function_type)
      376    1.442    0.004    1.443    0.004 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/sparse/_common.py:976(_dot_coo_ndarray)
  240/184    0.002    0.000    1.432    0.008 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/typeinfer.py:570(__call__)
    77/51    0.000    0.000    1.365    0.027 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/types/functions.py:534(get_call_type)
    77/51    0.001    0.000    1.362    0.027 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/dispatcher.py:348(get_call_template)
  638/596    0.019    0.000    1.297    0.002 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/types/functions.py:281(get_call_type)
    23319    0.049    0.000    1.235    0.000 /home/sp970/.local/share/uv/python/cpython-3.8.20-linux-x86_64-gnu/lib/python3.8/zipfile.py:919(read)
      752    0.007    0.000    1.211    0.002 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/sparse/_sparse_array.py:309(__array_ufunc__)
      752    0.004    0.000    1.198    0.002 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/sparse/_umath.py:14(elemwise)
     4512    0.053    0.000    1.191    0.000 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numpy/lib/format.py:594(_read_array_header)
4019/3935    0.007    0.000    1.185    0.000 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/typing/templates.py:349(apply)
    10377    0.049    0.000    1.182    0.000 /home/sp970/.local/share/uv/python/cpython-3.8.20-linux-x86_64-gnu/lib/python3.8/zipfile.py:999(_read1)
    18807    0.033    0.000    1.144    0.000 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numpy/lib/format.py:944(_read_bytes)
1410/1371    0.004    0.000    1.117    0.001 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/typing/templates.py:607(generic)
      376    1.112    0.003    1.112    0.003 {method 'dot' of 'numpy.ndarray' objects}
1410/1371    0.007    0.000    1.099    0.001 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/typing/templates.py:698(_get_impl)
      752    0.015    0.000    1.087    0.001 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/sparse/_umath.py:454(get_result)
      376    0.002    0.000    1.066    0.003 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numpy/lib/mixins.py:38(func)
    10101    0.864    0.000    1.030    0.000 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/llvmlite/binding/ffi.py:188(__call__)
   101/90    0.001    0.000    1.003    0.011 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/typing/templates.py:749(_build_impl)
     1504    0.070    0.000    0.988    0.001 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/sparse/_umath.py:566(_get_func_coords_data)
    18/16    0.000    0.000    0.981    0.061 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/lowering.py:182(lower)
      376    0.003    0.000    0.951    0.003 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/nmrsim/qm.py:330(_tm_cache)
     4512    0.091    0.000    0.903    0.000 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numpy/lib/format.py:559(_filter_header)
       19    0.000    0.000    0.842    0.044 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/codegen.py:739(finalize)
   103/63    0.000    0.000    0.824    0.013 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/codegen.py:565(_ensure_finalized)
     2076    0.037    0.000    0.821    0.000 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/sparse/_umath.py:646(_match_coo)
       17    0.000    0.000    0.819    0.048 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/cpu.py:225(get_executable)
       17    0.000    0.000    0.816    0.048 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/codegen.py:975(get_pointer_to_function)
      376    0.037    0.000    0.775    0.002 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/nmrsim/math.py:101(normalize_peaklist)
    18/16    0.000    0.000    0.711    0.044 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/lowering.py:233(lower_normal_function)
      220    0.019    0.000    0.698    0.003 /home/sp970/sam/notes/Create_Training_Data_Function/createTrainingData.py:93(getSsmData)
    18/16    0.001    0.000    0.695    0.043 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/lowering.py:250(lower_function_body)
    73/71    0.004    0.000    0.693    0.010 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/lowering.py:275(lower_block)
1103/1079    0.007    0.000    0.679    0.001 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/lowering.py:457(lower_inst)
    10377    0.656    0.000    0.656    0.000 {method 'decompress' of 'zlib.Decompress' objects}
    89112    0.230    0.000    0.626    0.000 /home/sp970/.local/share/uv/python/cpython-3.8.20-linux-x86_64-gnu/lib/python3.8/tokenize.py:429(_tokenize)
      376    0.249    0.001    0.605    0.002 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/nmrsim/qm.py:396(_compile_peaklist)
     3384    0.234    0.000    0.561    0.000 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/sparse/_coo/core.py:987(reshape)
  506/494    0.002    0.000    0.474    0.001 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/lowering.py:665(lower_assign)
  243/238    0.002    0.000    0.447    0.002 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/lowering.py:1185(lower_expr)
8468/7340    0.081    0.000    0.445    0.000 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/sparse/_coo/core.py:199(__init__)
       39    0.001    0.000    0.423    0.011 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/codegen.py:723(add_ir_module)
       19    0.000    0.000    0.422    0.022 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/codegen.py:781(_finalize_final_module)
    10377    0.008    0.000    0.396    0.000 /home/sp970/.local/share/uv/python/cpython-3.8.20-linux-x86_64-gnu/lib/python3.8/zipfile.py:952(_update_crc)
    19401    0.391    0.000    0.391    0.000 {built-in method zlib.crc32}
