,metabolite_id,pH,amount,amount_units,reference,solvent,hmdb_experiment_number,bmrb_accession,database_of_origin,database_of_origin_id
SA:3345,SU:12,,,,,,,bmse000101,GISSMO,bmse000101
SA:3346,SU:128,,,,,,,bmse000103,GISSMO,bmse000103
SA:3347,SU:1280,,,,,,,bmse000659,GISSMO,bmse000659
SA:3348,SU:1913,,,,,,,bmse000881,GISSMO,bmse000881
SA:3349,SU:77,,,,,,,bmse000856,GISSMO,bmse000856
SA:3350,SU:233,,,,,,,bmse000842,GISSMO,bmse000842
SA:3351,SU:845,,,,,,,bmse000473,GISSMO,bmse000473
SA:3352,SU:1483,,,,,,,bmse000467,GISSMO,bmse000467
SA:3353,SU:535,,,,,,,bmse000329,GISSMO,bmse000329
SA:3354,SU:1552,,,,,,,bmse000513,GISSMO,bmse000513
SA:3355,SU:988,,,,,,,bmse001157,GISSMO,bmse001157
SA:3356,SU:1682,,,,,,,bmse000249,GISSMO,bmse000249
SA:3357,SU:1214,,,,,,,bmse001194,GISSMO,bmse001194
SA:3358,SU:560,,,,,,,bmse000063,GISSMO,bmse000063
SA:3359,SU:45,,,,,,,bmse000705,GISSMO,bmse000705
SA:3360,SU:264,,,,,,,bmse000711,GISSMO,bmse000711
SA:3361,SU:516,,,,,,,bmse000077,GISSMO,bmse000077
SA:3362,SU:1883,,,,,,,bmse000739,GISSMO,bmse000739
SA:3363,SU:128,,,,,,,bmse000922,GISSMO,bmse000922
SA:3364,SU:560,,,,,,,bmse000936,GISSMO,bmse000936
SA:3365,SU:70,,,,,,,bmse000089,GISSMO,bmse000089
SA:3366,SU:153,,,,,,,bmse000923,GISSMO,bmse000923
SA:3367,SU:1851,,,,,,,bmse000738,GISSMO,bmse000738
SA:3368,SU:56,,,,,,,bmse000076,GISSMO,bmse000076
SA:3369,SU:1918,,,,,,,bmse001195,GISSMO,bmse001195
SA:3370,SU:935,,,,,,,bmse001181,GISSMO,bmse001181
SA:3371,SU:1709,,,,,,,bmse000248,GISSMO,bmse000248
SA:3372,SU:1948,,,,,,,bmse001156,GISSMO,bmse001156
SA:3373,SU:867,,,,,,,bmse001142,GISSMO,bmse001142
SA:3374,SU:145,,,,,,,bmse000274,GISSMO,bmse000274
SA:3375,SU:1323,,,,,,,bmse000506,GISSMO,bmse000506
SA:3376,SU:614,,,,,,,bmse000328,GISSMO,bmse000328
SA:3377,SU:625,,,,,,,bmse000300,GISSMO,bmse000300
SA:3378,SU:1463,,,,,,,bmse000466,GISSMO,bmse000466
SA:3379,SU:1916,,,,,,,bmse000843,GISSMO,bmse000843
SA:3380,SU:26,,,,,,,bmse000857,GISSMO,bmse000857
SA:3381,SU:409,,,,,,,bmse000658,GISSMO,bmse000658
SA:3382,SU:1857,,,,,,,bmse000102,GISSMO,bmse000102
SA:3383,SU:1660,,,,,,,bmse000670,GISSMO,bmse000670
SA:3384,SU:1484,,,,,,,bmse000655,GISSMO,bmse000655
SA:3385,SU:1868,,,,,,,bmse000133,GISSMO,bmse000133
SA:3386,SU:177,,,,,,,bmse000127,GISSMO,bmse000127
SA:3387,SU:17,,,,,,,bmse000641,GISSMO,bmse000641
SA:3388,SU:264,,,,,,,bmse000899,GISSMO,bmse000899
SA:3389,SU:2,,,,,,,bmse000872,GISSMO,bmse000872
SA:3390,SU:103,,,,,,,bmse000866,GISSMO,bmse000866
SA:3391,SU:1070,,,,,,,bmse000696,GISSMO,bmse000696
SA:3392,SU:229,,,,,,,bmse000682,GISSMO,bmse000682
SA:3393,SU:1986,,,,,,,bmse000319,GISSMO,bmse000319
SA:3394,SU:1908,,,,,,,bmse000331,GISSMO,bmse000331
SA:3395,SU:246,,,,,,,bmse000457,GISSMO,bmse000457
SA:3396,SU:245,,,,,,,bmse000443,GISSMO,bmse000443
SA:3397,SU:3,,,,,,,bmse000325,GISSMO,bmse000325
