,metabolite_id,pH,amount,amount_units,reference,solvent,hmdb_experiment_number,bmrb_accession,database_of_origin,database_of_origin_id
SA:3626,SU:1208,,,,,,,bmse000379,GISSMO,bmse000379
SA:3627,SU:406,,,,,,,bmse000423,GISSMO,bmse000423
SA:3628,SU:438,,,,,,,bmse000345,GISSMO,bmse000345
SA:3629,SU:269,,,,,,,bmse000351,GISSMO,bmse000351
SA:3630,SU:1780,,,,,,,bmse000437,GISSMO,bmse000437
SA:3631,SU:337,,,,,,,bmse000386,GISSMO,bmse000386
SA:3632,SU:877,,,,,,,bmse000392,GISSMO,bmse000392
SA:3633,SU:1869,,,,,,,bmse000557,GISSMO,bmse000557
SA:3634,SU:1995,,,,,,,bmse000225,GISSMO,bmse000225
SA:3635,SU:1220,,,,,,,bmse000594,GISSMO,bmse000594
SA:3636,SU:1455,,,,,,,bmse000033,GISSMO,bmse000033
SA:3637,SU:1792,,,,,,,bmse000741,GISSMO,bmse000741
SA:3638,SU:852,,,,,,,bmse000972,GISSMO,bmse000972
SA:3639,SU:357,,,,,,,bmse000966,GISSMO,bmse000966
SA:3640,SU:35,,,,,,,bmse000967,GISSMO,bmse000967
SA:3641,SU:1546,,,,,,,bmse000973,GISSMO,bmse000973
SA:3642,SU:1811,,,,,,,bmse000740,GISSMO,bmse000740
SA:3643,SU:448,,,,,,,bmse000032,GISSMO,bmse000032
SA:3644,SU:1858,,,,,,,bmse000754,GISSMO,bmse000754
SA:3645,SU:1586,,,,,,,bmse000768,GISSMO,bmse000768
SA:3646,SU:260,,,,,,,bmse000581,GISSMO,bmse000581
SA:3647,SU:1863,,,,,,,bmse000595,GISSMO,bmse000595
SA:3648,SU:450,,,,,,,bmse000224,GISSMO,bmse000224
SA:3649,SU:1897,,,,,,,bmse000556,GISSMO,bmse000556
SA:3650,SU:88,,,,,,,bmse000230,GISSMO,bmse000230
SA:3651,SU:1688,,,,,,,bmse001106,GISSMO,bmse001106
SA:3652,SU:696,,,,,,,bmse000350,GISSMO,bmse000350
SA:3653,SU:1479,,,,,,,bmse000422,GISSMO,bmse000422
SA:3654,SU:846,,,,,,,bmse000344,GISSMO,bmse000344
SA:3655,SU:439,,,,,,,bmse000378,GISSMO,bmse000378
SA:3656,SU:26,,,,,,,bmse000191,GISSMO,bmse000191
SA:3657,SU:72,,,,,,,bmse000185,GISSMO,bmse000185
SA:3658,SU:1197,,,,,,,bmse000634,GISSMO,bmse000634
SA:3659,SU:431,,,,,,,bmse000152,GISSMO,bmse000152
SA:3660,SU:1564,,,,,,,bmse000146,GISSMO,bmse000146
SA:3661,SU:747,,,,,,,bmse000620,GISSMO,bmse000620
SA:3662,SU:1675,,,,,,,bmse000624,GISSMO,bmse000624
SA:3663,SU:1834,,,,,,,bmse000142,GISSMO,bmse000142
SA:3664,SU:1996,,,,,,,bmse000156,GISSMO,bmse000156
SA:3665,SU:472,,,,,,,bmse000618,GISSMO,bmse000618
SA:3666,SU:828,,,,,,,bmse000195,GISSMO,bmse000195
SA:3667,SU:64,,,,,,,bmse000340,GISSMO,bmse000340
SA:3668,SU:457,,,,,,,bmse000426,GISSMO,bmse000426
SA:3669,SU:458,,,,,,,bmse000432,GISSMO,bmse000432
SA:3670,SU:421,,,,,,,bmse000354,GISSMO,bmse000354
SA:3671,SU:1651,,,,,,,bmse000368,GISSMO,bmse000368
SA:3672,SU:340,,,,,,,bmse000383,GISSMO,bmse000383
SA:3673,SU:1061,,,,,,,bmse000552,GISSMO,bmse000552
SA:3674,SU:126,,,,,,,bmse000220,GISSMO,bmse000220
SA:3675,SU:113,,,,,,,bmse000208,GISSMO,bmse000208
SA:3676,SU:692,,,,,,,bmse000591,GISSMO,bmse000591
SA:3677,SU:1571,,,,,,,bmse000585,GISSMO,bmse000585
SA:3678,SU:1619,,,,,,,bmse000988,GISSMO,bmse000988
SA:3679,SU:1584,,,,,,,bmse000750,GISSMO,bmse000750
SA:3680,SU:427,,,,,,,bmse000744,GISSMO,bmse000744
SA:3681,SU:1523,,,,,,,bmse000787,GISSMO,bmse000787
SA:3682,SU:70,,,,,,,bmse000977,GISSMO,bmse000977
SA:3683,SU:1889,,,,,,,bmse000962,GISSMO,bmse000962
SA:3684,SU:107,,,,,,,bmse000976,GISSMO,bmse000976
SA:3685,SU:951,,,,,,,bmse000786,GISSMO,bmse000786
SA:3686,SU:1789,,,,,,,bmse000779,GISSMO,bmse000779
SA:3687,SU:324,,,,,,,bmse000745,GISSMO,bmse000745
SA:3688,SU:1629,,,,,,,bmse000751,GISSMO,bmse000751
SA:3689,SU:1997,,,,,,,bmse000989,GISSMO,bmse000989
SA:3690,SU:86,,,,,,,bmse000037,GISSMO,bmse000037
SA:3691,SU:1531,,,,,,,bmse000584,GISSMO,bmse000584
SA:3692,SU:133,,,,,,,bmse000590,GISSMO,bmse000590
SA:3693,SU:448,,,,,,,bmse000209,GISSMO,bmse000209
SA:3694,SU:1588,,,,,,,bmse000553,GISSMO,bmse000553
SA:3695,SU:501,,,,,,,bmse000382,GISSMO,bmse000382
SA:3696,SU:1083,,,,,,,bmse000369,GISSMO,bmse000369
SA:3697,SU:697,,,,,,,bmse000433,GISSMO,bmse000433
SA:3698,SU:1233,,,,,,,bmse000355,GISSMO,bmse000355
SA:3699,SU:762,,,,,,,bmse000341,GISSMO,bmse000341
SA:3700,SU:302,,,,,,,bmse000180,GISSMO,bmse000180
SA:3701,SU:1952,,,,,,,bmse000619,GISSMO,bmse000619
SA:3702,SU:387,,,,,,,bmse000157,GISSMO,bmse000157
SA:3703,SU:1442,,,,,,,bmse000631,GISSMO,bmse000631
SA:3704,SU:336,,,,,,,bmse000625,GISSMO,bmse000625
SA:3705,SU:1796,,,,,,,bmse000143,GISSMO,bmse000143
SA:3706,SU:280,,,,,,,bmse000155,GISSMO,bmse000155
SA:3707,SU:866,,,,,,,bmse000169,GISSMO,bmse000169
SA:3708,SU:865,,,,,,,bmse000828,GISSMO,bmse000828
SA:3709,SU:1513,,,,,,,bmse000182,GISSMO,bmse000182
SA:3710,SU:47,,,,,,,bmse000425,GISSMO,bmse000425
SA:3711,SU:971,,,,,,,bmse000343,GISSMO,bmse000343
SA:3712,SU:827,,,,,,,bmse000419,GISSMO,bmse000419
SA:3713,SU:647,,,,,,,bmse000394,GISSMO,bmse000394
SA:3714,SU:1561,,,,,,,bmse000380,GISSMO,bmse000380
SA:3715,SU:519,,,,,,,bmse000223,GISSMO,bmse000223
SA:3716,SU:1055,,,,,,,bmse000545,GISSMO,bmse000545
SA:3717,SU:1721,,,,,,,bmse001129,GISSMO,bmse001129
SA:3718,SU:288,,,,,,,bmse000579,GISSMO,bmse000579
SA:3719,SU:1453,,,,,,,bmse001115,GISSMO,bmse001115
SA:3720,SU:1859,,,,,,,bmse000592,GISSMO,bmse000592
SA:3721,SU:115,,,,,,,bmse000035,GISSMO,bmse000035
SA:3722,SU:1430,,,,,,,bmse000948,GISSMO,bmse000948
SA:3723,SU:286,,,,,,,bmse000975,GISSMO,bmse000975
SA:3724,SU:39,,,,,,,bmse000949,GISSMO,bmse000949
SA:3725,SU:286,,,,,,,bmse000034,GISSMO,bmse000034
SA:3726,SU:374,,,,,,,bmse000746,GISSMO,bmse000746
SA:3727,SU:1660,,,,,,,bmse000593,GISSMO,bmse000593
SA:3728,SU:471,,,,,,,bmse000587,GISSMO,bmse000587
SA:3729,SU:364,,,,,,,bmse001114,GISSMO,bmse001114
SA:3730,SU:297,,,,,,,bmse000578,GISSMO,bmse000578
SA:3731,SU:532,,,,,,,bmse000236,GISSMO,bmse000236
SA:3732,SU:111,,,,,,,bmse000222,GISSMO,bmse000222
SA:3733,SU:1503,,,,,,,bmse000381,GISSMO,bmse000381
SA:3734,SU:1634,,,,,,,bmse000395,GISSMO,bmse000395
SA:3735,SU:872,,,,,,,bmse000418,GISSMO,bmse000418
SA:3736,SU:235,,,,,,,bmse000424,GISSMO,bmse000424
SA:3737,SU:825,,,,,,,bmse000342,GISSMO,bmse000342
SA:3738,SU:496,,,,,,,bmse000356,GISSMO,bmse000356
SA:3739,SU:1775,,,,,,,bmse000430,GISSMO,bmse000430
SA:3740,SU:157,,,,,,,bmse000183,GISSMO,bmse000183
SA:3741,SU:441,,,,,,,bmse000168,GISSMO,bmse000168
SA:3742,SU:870,,,,,,,bmse000626,GISSMO,bmse000626
SA:3743,SU:1750,,,,,,,bmse000632,GISSMO,bmse000632
SA:3744,SU:1638,,,,,,,bmse000154,GISSMO,bmse000154
