Mon Aug 11 11:19:47 2025    morgan/output.prof

         29177502 function calls (28676758 primitive calls) in 175.382 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   519060    0.170    0.000    0.269    0.000 {built-in method _abc._abc_instancecheck}
    20503    0.152    0.000    1.185    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/pandas/core/series.py:389(__init__)
   334422    0.148    0.000    0.148    0.000 {method 'seek' of '_io.BufferedReader' objects}
   304888    0.144    0.000    0.201    0.000 <frozen importlib._bootstrap>:404(parent)
    14104    0.144    0.000    0.465    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_coo/core.py:1292(_sort_indices)
   169248    0.138    0.000    0.231    0.000 {method 'decode' of 'bytes' objects}
    54616    0.130    0.000    0.202    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_umath.py:126(_get_broadcast_shape)
   176300    0.129    0.000    0.327    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numpy/_core/numerictypes.py:471(issubdtype)
    28208    0.129    0.000    0.570    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_utils.py:649(can_store)
   275182    0.126    0.000    0.527    0.000 {built-in method builtins.all}
    17630    0.124    0.000    0.170    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numpy/lib/_arraysetops_impl.py:339(_unique1d)
    31734    0.124    0.000    0.205    0.000 /opt/conda/envs/ml/lib/python3.10/pathlib.py:56(parse_parts)
   408401    0.121    0.000    0.121    0.000 {built-in method builtins.getattr}
     2020    0.120    0.000    5.194    0.003 /usr/src/app/morgan/createTrainingData.py:98(getSsmData)
    28208    0.116    0.000    0.223    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_sparse_array.py:282(__array_function__)
   352600    0.115    0.000    0.184    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numpy/_core/numerictypes.py:289(issubclass_)
     3526    0.112    0.000    0.112    0.000 {built-in method builtins.sum}
     7052    0.103    0.000    2.973    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_umath.py:457(get_result)
    42312    0.103    0.000    1.112    0.000 /opt/conda/envs/ml/lib/python3.10/ast.py:54(literal_eval)
    97047    0.102    0.000    0.404    0.000 /opt/conda/envs/ml/lib/python3.10/zipfile.py:1023(_read2)
    16464    0.101    0.000    0.171    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/pandas/core/dtypes/cast.py:1164(maybe_infer_to_datetimelike)
   676773    0.101    0.000    0.101    0.000 {built-in method builtins.issubclass}
